Quarter,Grievance Type Roll-up,Grievance Type,Grievances
2023Q1,Access to Care,Barriers / Impeded Access to Labor And Delivery Doula Services,1
2023Q1,Access to Care,Barriers / Impeded Access to Postpartum Doula Services,0
2023Q1,Access to Care,Barriers / Impeded Access to Prenatal Doula Services,1
2023Q1,Access to Care,Continuity Of Care,2065
2023Q1,Access to Care,Geographic Access,1806
2023Q1,Access to Care,Language Access,614
2023Q1,Access to Care,LTC (Long Term Care) -Timely Access,7
2023Q1,Access to Care,Physical Access,892
2023Q1,Access to Care,Provider Availability,17289
2023Q1,Access to Care,Rural Member Denied Out of Network Request,1
2023Q1,Access to Care,Timely Access,12225
2023Q1,Access to Care,Transportation,0
2023Q1,Compliance,Abuse / Neglect / Exploitation,124
2023Q1,Compliance,Assault / Harassment,203
2023Q1,Compliance,Authorization,5402
2023Q1,Compliance,Disability Discrimination,124
2023Q1,Compliance,Discrimination,921
2023Q1,Compliance,Expedited Appeal Request Denied,8
2023Q1,Compliance,Fraud / Waste / Abuse,231
2023Q1,Compliance,PHI / Confidentiality / HIPAA,584
2023Q1,Compliance,Plan's Failure to Meet Timeframes for Resolution,21
2023Q1,Compliance,Plan's Reduction / Suspension / Termination of Previously Authorized Service,13
2023Q1,Compliance,Timely Response To Auth / Appeal Request,644
2023Q1,Coverage,Billing,0
2023Q1,Coverage,Denial of Payment Request,4996
2023Q1,Coverage,Denial of Request to Dispute Financial Liability,4088
2023Q1,Coverage,Eligibility,2303
2023Q1,Coverage,Enrollment,4332
2023Q1,Coverage,Provider Balance Billing,3405
2023Q1,Coverage,Provider Direct Member Billing,1121
2023Q1,Quality of Care,Inappropriate Care,4522
2023Q1,Quality of Care,LTC (Long Term Care) -Facility/Provider grievances,12
2023Q1,Quality of Care,Quality of Care,13323
2023Q1,Quality of Service,Case Management / Care Coordination,11686
2023Q1,Quality of Service,LTC (Long Term Care) - Other,2
2023Q1,Quality of Service,Member Informing Materials,2173
2023Q1,Quality of Service,Plan Customer Service,13083
2023Q1,Quality of Service,Provider / Staff Attitude,20611
2023Q1,Quality of Service,Technology / Telephone,4767
2023Q1,Referral,Out-of-Network,745
2023Q1,Referral,Referral,7058
2023Q1,Transportation,Driver Punctuality,4129
2023Q1,Transportation,Injury,391
2023Q1,Transportation,LTC (Long Term Care) -Transportation,7
2023Q1,Transportation,Scheduling,970
2023Q1,Transportation,Vehicle,432
2023Q2,Access to Care,Barriers / Impeded Access to Labor And Delivery Doula Services,0
2023Q2,Access to Care,Barriers / Impeded Access to Postpartum Doula Services,0
2023Q2,Access to Care,Barriers / Impeded Access to Prenatal Doula Services,0
2023Q2,Access to Care,Continuity Of Care,1736
2023Q2,Access to Care,Geographic Access,1592
2023Q2,Access to Care,Language Access,753
2023Q2,Access to Care,LTC (Long Term Care) -Timely Access,12
2023Q2,Access to Care,Physical Access,926
2023Q2,Access to Care,Provider Availability,17806
2023Q2,Access to Care,Rural Member Denied Out of Network Request,2
2023Q2,Access to Care,Timely Access,13406
2023Q2,Access to Care,Transportation,0
2023Q2,Compliance,Abuse / Neglect / Exploitation,120
2023Q2,Compliance,Assault / Harassment,222
2023Q2,Compliance,Authorization,5849
2023Q2,Compliance,Disability Discrimination,117
2023Q2,Compliance,Discrimination,1189
2023Q2,Compliance,Expedited Appeal Request Denied,7
2023Q2,Compliance,Fraud / Waste / Abuse,286
2023Q2,Compliance,PHI / Confidentiality / HIPAA,613
2023Q2,Compliance,Plan's Failure to Meet Timeframes for Resolution,42
2023Q2,Compliance,Plan's Reduction / Suspension / Termination of Previously Authorized Service,6
2023Q2,Compliance,Timely Response To Auth / Appeal Request,820
2023Q2,Coverage,Billing,0
2023Q2,Coverage,Denial of Payment Request,4721
2023Q2,Coverage,Denial of Request to Dispute Financial Liability,4248
2023Q2,Coverage,Eligibility,2292
2023Q2,Coverage,Enrollment,4545
2023Q2,Coverage,Provider Balance Billing,3859
2023Q2,Coverage,Provider Direct Member Billing,914
2023Q2,Quality of Care,Inappropriate Care,4690
2023Q2,Quality of Care,LTC (Long Term Care) -Facility/Provider grievances,50
2023Q2,Quality of Care,Quality of Care,12011
2023Q2,Quality of Service,Case Management / Care Coordination,13476
2023Q2,Quality of Service,LTC (Long Term Care) - Other,15
2023Q2,Quality of Service,Member Informing Materials,2634
2023Q2,Quality of Service,Plan Customer Service,13237
2023Q2,Quality of Service,Provider / Staff Attitude,22902
2023Q2,Quality of Service,Technology / Telephone,5046
2023Q2,Referral,Out-of-Network,761
2023Q2,Referral,Referral,7839
2023Q2,Transportation,Driver Punctuality,4066
2023Q2,Transportation,Injury,574
2023Q2,Transportation,LTC (Long Term Care) -Transportation,17
2023Q2,Transportation,Scheduling,890
2023Q2,Transportation,Vehicle,572
2023Q3,Access to Care,Barriers / Impeded Access to Labor And Delivery Doula Services,3
2023Q3,Access to Care,Barriers / Impeded Access to Postpartum Doula Services,0
2023Q3,Access to Care,Barriers / Impeded Access to Prenatal Doula Services,0
2023Q3,Access to Care,Continuity Of Care,1393
2023Q3,Access to Care,Geographic Access,1446
2023Q3,Access to Care,Language Access,767
2023Q3,Access to Care,LTC (Long Term Care) -Timely Access,29
2023Q3,Access to Care,Physical Access,734
2023Q3,Access to Care,Provider Availability,18056
2023Q3,Access to Care,Rural Member Denied Out of Network Request,1
2023Q3,Access to Care,Timely Access,13465
2023Q3,Access to Care,Transportation,0
2023Q3,Compliance,Abuse / Neglect / Exploitation,154
2023Q3,Compliance,Assault / Harassment,174
2023Q3,Compliance,Authorization,5718
2023Q3,Compliance,Disability Discrimination,146
2023Q3,Compliance,Discrimination,1182
2023Q3,Compliance,Expedited Appeal Request Denied,7
2023Q3,Compliance,Fraud / Waste / Abuse,302
2023Q3,Compliance,PHI / Confidentiality / HIPAA,619
2023Q3,Compliance,Plan's Failure to Meet Timeframes for Resolution,41
2023Q3,Compliance,Plan's Reduction / Suspension / Termination of Previously Authorized Service,3
2023Q3,Compliance,Timely Response To Auth / Appeal Request,863
2023Q3,Coverage,Billing,0
2023Q3,Coverage,Denial of Payment Request,4354
2023Q3,Coverage,Denial of Request to Dispute Financial Liability,9761
2023Q3,Coverage,Eligibility,2606
2023Q3,Coverage,Enrollment,4406
2023Q3,Coverage,Provider Balance Billing,5500
2023Q3,Coverage,Provider Direct Member Billing,1114
2023Q3,Quality of Care,Inappropriate Care,4135
2023Q3,Quality of Care,LTC (Long Term Care) -Facility/Provider grievances,53
2023Q3,Quality of Care,Quality of Care,11071
